,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
1,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
2,0.0,2.6316,5.2632,7.8947,10.5263,13.1579,15.7895,18.4211,21.0526,23.6842,26.3158,28.9474,31.5789,34.2105,36.8421,39.4737,42.1053,44.7368,47.3684,50.0
3,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
4,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
5,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
6,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
7,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
8,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
9,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
10,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
11,0.0,2.8947,5.7895,8.6842,11.5789,14.4737,17.3684,20.2632,23.1579,26.0526,28.9474,31.8421,34.7368,37.6316,40.5263,43.4211,46.3158,49.2105,52.1053,55.0
12,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
13,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
14,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
15,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
16,0.0,2.6316,5.2632,7.8947,10.5263,13.1579,15.7895,18.4211,21.0526,23.6842,26.3158,28.9474,31.5789,34.2105,36.8421,39.4737,42.1053,44.7368,47.3684,50.0
17,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
18,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
19,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
20,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
21,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
22,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
23,0.0,2.6316,5.2632,7.8947,10.5263,13.1579,15.7895,18.4211,21.0526,23.6842,26.3158,28.9474,31.5789,34.2105,36.8421,39.4737,42.1053,44.7368,47.3684,50.0
24,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
25,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
26,0.0,2.6316,5.2632,7.8947,10.5263,13.1579,15.7895,18.4211,21.0526,23.6842,26.3158,28.9474,31.5789,34.2105,36.8421,39.4737,42.1053,44.7368,47.3684,50.0
27,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
28,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
29,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
30,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
31,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
32,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
33,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
34,0.0,2.6316,5.2632,7.8947,10.5263,13.1579,15.7895,18.4211,21.0526,23.6842,26.3158,28.9474,31.5789,34.2105,36.8421,39.4737,42.1053,44.7368,47.3684,50.0
35,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
36,0.0,2.6316,5.2632,7.8947,10.5263,13.1579,15.7895,18.4211,21.0526,23.6842,26.3158,28.9474,31.5789,34.2105,36.8421,39.4737,42.1053,44.7368,47.3684,50.0
37,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
38,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
39,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
40,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
41,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
42,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
43,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
44,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
45,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
46,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
47,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
48,0.0,3.1579,6.3158,9.4737,12.6316,15.7895,18.9474,22.1053,25.2632,28.4211,31.5789,34.7368,37.8947,41.0526,44.2105,47.3684,50.5263,53.6842,56.8421,60.0
49,0.0,3.6842,7.3684,11.0526,14.7368,18.4211,22.1053,25.7895,29.4737,33.1579,36.8421,40.5263,44.2105,47.8947,51.5789,55.2632,58.9474,62.6316,66.3158,70.0
